City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,oneonta,42.4529,-75.0638,12.38,99,100,1.95,US,1724289932
328,sinabang,2.4803,96.3801,26.95,79,100,1.34,ID,1724289933
329,gobabis,-22.45,18.9667,13.82,18,0,3.89,NA,1724289866
330,ruiz,21.95,-105.15,27.98,90,68,2.22,MX,1724289866
331,mount isa,-20.7333,139.5,29.87,28,0,5.66,AU,1724289866
332,kodinsk,58.6881,99.1844,16.48,91,100,2.13,RU,1724289933
333,ayr,55.4627,-4.6339,14.17,94,75,11.32,GB,1724289933
334,mil'kovo,55.6078,37.7956,14.08,71,88,3.12,RU,1724289933
335,ulsteinvik,62.3432,5.8487,16.5,57,100,7.15,NO,1724289933
336,belokany,41.7258,46.4083,23.05,46,78,1.85,AZ,1724289933
337,mirny,62.5353,113.9611,16.38,70,100,2.1,RU,1724289806
338,kavaratti,10.5669,72.642,26.49,86,100,8.66,IN,1724289933
339,broome,42.2506,-75.833,13.21,82,40,1.54,US,1724289933
340,cham,49.245,12.6825,13.17,96,100,0.61,DE,1724289933
341,jackson,42.4165,-122.8345,29.84,30,0,7.2,US,1724289933
342,vorgashor,67.5833,63.95,7.3,97,100,3.29,RU,1724289866
343,bamboo flat,11.7,92.7167,26.05,83,100,4.12,IN,1724289933
344,auki,-8.7676,160.7034,28.79,70,100,3.54,SB,1724289934
345,igarka,67.4667,86.5833,13.06,69,67,4.04,RU,1724289867
346,tchollire,8.4022,14.1698,21.48,96,100,1.64,CM,1724289934
347,ash shafa,21.0694,40.3119,18.37,73,65,0.71,SA,1724289934
348,chinautla,14.7083,-90.4994,20.59,82,75,2.06,GT,1724289867
349,uyar,55.81,94.3153,15.15,87,100,3.26,RU,1724289934
350,madang,-5.2246,145.7966,31.04,59,24,1.31,PG,1724289867
351,kidal,18.4411,1.4078,30.31,48,100,0.41,ML,1724289934
352,muang xay,20.7,101.9833,22.67,95,100,0.28,LA,1724289934
353,isangel,-19.55,169.2667,28.06,57,40,3.09,VU,1724289934
354,nuuk,64.1835,-51.7216,4.34,87,100,5.14,GL,1724289934
355,i-n-salah,27.1935,2.4607,36.23,17,2,7.77,DZ,1724289934
356,san pedro pochutla,15.7333,-96.4667,29.28,91,100,1.91,MX,1724289934
357,tashtyp,52.7939,89.8983,15.03,91,99,3.2,RU,1724289867
358,smithers,54.7804,-127.1743,16.18,63,75,3.6,CA,1724289934
359,sinop,41.7711,34.8709,20.72,50,70,1.7,TR,1724289934
